"Education index"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"168"," Afghanistan","0.122","","0.133","","0.145","","0.156","","0.168","","0.179","","0.190","","0.202","","0.213","","0.224","","0.235","","0.247","","0.259","","0.271","","0.302","","0.312","","0.324","","0.336","","0.347","","0.359","","0.371","","0.382","","0.390","","0.398","","0.406","","0.410","","0.410","","0.415",""
"68"," Albania","0.584","","0.589","","0.558","","0.543","","0.542","","0.551","","0.558","","0.571","","0.580","","0.586","","0.588","","0.589","","0.598","","0.605","","0.606","","0.623","","0.629","","0.642","","0.646","","0.652","","0.673","","0.693","","0.730","","0.732","","0.733","","0.733","","0.742","","0.745",""
"85"," Algeria","0.385","","0.395","","0.405","","0.414","","0.424","","0.431","","0.443","","0.458","","0.473","","0.487","","0.500","","0.513","","0.529","","0.542","","0.557","","0.570","","0.577","","0.588","","0.588","","0.608","","0.626","","0.644","","0.652","","0.660","","0.661","","0.662","","0.663","","0.664",""
"35"," Andorra","","","","","","","","","","","","","","","","","","","","","0.524","","0.538","","0.559","","0.640","","0.649","","0.626","","0.646","","0.647","","0.661","","0.661","","0.662","","0.663","","0.715","","0.715","","0.716","","0.715","","0.714","","0.714",""
"147"," Angola","","","","","","","","","","","","","","","","","","","0.276","","0.288","","0.300","","0.312","","0.324","","0.336","","0.348","","0.362","","0.376","","0.390","","0.404","","0.398","","0.423","","0.435","","0.447","","0.460","","0.472","","0.487","","0.498",""
"70"," Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.673","","0.675","","0.676","","0.674","","0.672","","0.667","","0.659","","0.663","","0.669","","0.669","","0.676","","0.676","","0.676",""
"47"," Argentina","0.628","","0.632","","0.634","","0.636","","0.639","","0.648","","0.659","","0.670","","0.681","","0.715","","0.736","","0.756","","0.762","","0.761","","0.760","","0.751","","0.752","","0.751","","0.753","","0.775","","0.802","","0.807","","0.805","","0.804","","0.808","","0.812","","0.814","","0.816",""
"83"," Armenia","0.634","","0.637","","0.636","","0.642","","0.636","","0.632","","0.628","","0.641","","0.663","","0.670","","0.667","","0.657","","0.660","","0.662","","0.664","","0.675","","0.690","","0.707","","0.712","","0.729","","0.731","","0.732","","0.735","","0.739","","0.742","","0.746","","0.749","","0.749",""
"3"," Australia","0.873","","0.874","","0.874","","0.875","","0.875","","0.894","","0.895","","0.895","","0.895","","0.895","","0.895","","0.896","","0.895","","0.893","","0.892","","0.892","","0.895","","0.901","","0.911","","0.909","","0.913","","0.916","","0.919","","0.921","","0.924","","0.926","","0.929","","0.929",""
"20"," Austria","0.676","","0.683","","0.692","","0.694","","0.705","","0.709","","0.712","","0.715","","0.736","","0.727","","0.731","","0.754","","0.721","","0.728","","0.740","","0.749","","0.759","","0.806","","0.809","","0.819","","0.837","","0.838","","0.841","","0.833","","0.844","","0.847","","0.852","","0.852",""
"80"," Azerbaijan","","","","","","","","","","","0.618","","0.614","","0.616","","0.625","","0.633","","0.640","","0.647","","0.653","","0.660","","0.666","","0.652","","0.680","","0.662","","0.662","","0.683","","0.681","","0.684","","0.689","","0.698","","0.709","","0.709","","0.709","","0.709",""
"54"," Bahamas","","","","","","","","","","","","","","","","","","","","","0.700","","0.702","","0.704","","0.706","","0.708","","0.710","","0.712","","0.714","","0.714","","0.713","","0.716","","0.723","","0.726","","0.726","","0.726","","0.726","","0.726","","0.726",""
"43"," Bahrain","0.574","","0.586","","0.586","","0.599","","0.609","","0.619","","0.624","","0.628","","0.632","","0.635","","0.643","","0.645","","0.646","","0.646","","0.641","","0.637","","0.640","","0.644","","0.647","","0.651","","0.654","","0.664","","0.664","","0.674","","0.685","","0.723","","0.758","","0.758",""
"136"," Bangladesh","0.251","","0.260","","0.268","","0.276","","0.284","","0.292","","0.303","","0.313","","0.324","","0.334","","0.344","","0.355","","0.362","","0.370","","0.378","","0.385","","0.391","","0.395","","0.391","","0.409","","0.425","","0.442","","0.454","","0.465","","0.477","","0.488","","0.490","","0.508",""
"58"," Barbados","0.625","","0.632","","0.639","","0.646","","0.653","","0.660","","0.665","","0.669","","0.660","","0.678","","0.690","","0.690","","0.697","","0.704","","0.711","","0.718","","0.725","","0.732","","0.742","","0.751","","0.742","","0.755","","0.776","","0.777","","0.777","","0.777","","0.777","","0.777",""
"53"," Belarus","","","","","","","","","","","0.630","","0.643","","0.648","","0.649","","0.658","","0.668","","0.677","","0.687","","0.696","","0.706","","0.716","","0.745","","0.774","","0.804","","0.828","","0.829","","0.833","","0.836","","0.835","","0.835","","0.836","","0.838","","0.838",""
"17"," Belgium","0.705","","0.708","","0.745","","0.781","","0.791","","0.804","","0.814","","0.820","","0.827","","0.825","","0.833","","0.838","","0.842","","0.846","","0.849","","0.856","","0.869","","0.871","","0.865","","0.870","","0.871","","0.873","","0.874","","0.880","","0.883","","0.890","","0.893","","0.893",""
"106"," Belize","0.573","","0.582","","0.591","","0.600","","0.609","","0.617","","0.627","","0.636","","0.645","","0.654","","0.663","","0.668","","0.678","","0.689","","0.699","","0.685","","0.701","","0.701","","0.700","","0.694","","0.695","","0.697","","0.708","","0.704","","0.704","","0.704","","0.705","","0.705",""
"163"," Benin","0.201","","0.208","","0.215","","0.222","","0.228","","0.235","","0.241","","0.248","","0.254","","0.262","","0.273","","0.294","","0.310","","0.321","","0.333","","0.344","","0.355","","0.366","","0.377","","0.389","","0.400","","0.411","","0.433","","0.454","","0.460","","0.466","","0.471","","0.471",""
"134"," Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.335","","0.347","","0.358","","0.369","","0.384","","0.397","","0.408","","0.424","","0.429","","0.443","","0.445","","0.446","","0.445",""
"118"," Bolivia (Plurinational State of)","0.528","","0.537","","0.546","","0.555","","0.565","","0.574","","0.581","","0.574","","0.594","","0.616","","0.630","","0.631","","0.641","","0.644","","0.637","","0.631","","0.635","","0.624","","0.636","","0.647","","0.641","","0.649","","0.659","","0.663","","0.667","","0.672","","0.683","","0.687",""
"77"," Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","0.557","","0.565","","0.574","","0.582","","0.590","","0.599","","0.607","","0.615","","0.623","","0.625","","0.608","","0.626","","0.672","","0.686","","0.699","","0.695","","0.718","","0.718",""
"101"," Botswana","0.461","","0.478","","0.486","","0.493","","0.499","","0.519","","0.531","","0.542","","0.554","","0.572","","0.583","","0.590","","0.590","","0.596","","0.601","","0.606","","0.615","","0.619","","0.626","","0.633","","0.640","","0.646","","0.651","","0.654","","0.656","","0.658","","0.659","","0.659",""
"79"," Brazil","0.463","","0.475","","0.487","","0.499","","0.511","","0.523","","0.535","","0.547","","0.559","","0.572","","0.584","","0.597","","0.610","","0.595","","0.593","","0.593","","0.589","","0.588","","0.608","","0.610","","0.619","","0.622","","0.630","","0.655","","0.664","","0.680","","0.686","","0.686",""
"39"," Brunei Darussalam","0.588","","0.596","","0.604","","0.613","","0.620","","0.626","","0.629","","0.633","","0.636","","0.647","","0.647","","0.647","","0.651","","0.661","","0.673","","0.679","","0.683","","0.680","","0.679","","0.685","","0.685","","0.693","","0.709","","0.711","","0.710","","0.705","","0.704","","0.704",""
"51"," Bulgaria","0.632","","0.637","","0.635","","0.635","","0.635","","0.647","","0.663","","0.667","","0.671","","0.676","","0.677","","0.690","","0.691","","0.705","","0.712","","0.715","","0.721","","0.738","","0.742","","0.746","","0.756","","0.760","","0.764","","0.779","","0.786","","0.811","","0.805","","0.805",""
"183"," Burkina Faso","","","","","","","","","","","","","","","","","","","","","0.139","","0.142","","0.147","","0.151","","0.162","","0.173","","0.181","","0.194","","0.208","","0.220","","0.232","","0.245","","0.254","","0.262","","0.266","","0.277","","0.285","","0.286",""
"185"," Burundi","0.171","","0.176","","0.172","","0.181","","0.181","","0.181","","0.182","","0.182","","0.183","","0.183","","0.187","","0.186","","0.199","","0.214","","0.228","","0.240","","0.280","","0.301","","0.323","","0.359","","0.376","","0.392","","0.399","","0.408","","0.419","","0.421","","0.424","","0.424",""
"125"," Cabo Verde","","","","","","","","","","","","","","","","","","","","","0.436","","0.435","","0.451","","0.454","","0.455","","0.463","","0.487","","0.490","","0.499","","0.504","","0.513","","0.522","","0.524","","0.538","","0.543","","0.549","","0.555","","0.555",""
"146"," Cambodia","0.276","","0.280","","0.284","","0.288","","0.292","","0.297","","0.301","","0.305","","0.310","","0.305","","0.319","","0.337","","0.369","","0.382","","0.392","","0.400","","0.409","","0.416","","0.424","","0.422","","0.450","","0.460","","0.467","","0.474","","0.479","","0.479","","0.483","","0.487",""
"151"," Cameroon","0.339","","0.342","","0.343","","0.344","","0.344","","0.345","","0.346","","0.347","","0.359","","0.349","","0.360","","0.396","","0.394","","0.399","","0.400","","0.400","","0.406","","0.428","","0.441","","0.455","","0.468","","0.486","","0.510","","0.526","","0.537","","0.542","","0.547","","0.547",""
"12"," Canada","0.806","","0.818","","0.824","","0.815","","0.821","","0.822","","0.825","","0.816","","0.807","","0.805","","0.805","","0.814","","0.822","","0.830","","0.839","","0.847","","0.850","","0.852","","0.854","","0.857","","0.859","","0.863","","0.867","","0.870","","0.887","","0.890","","0.894","","0.899",""
"188"," Central African Republic","0.214","","0.207","","0.189","","0.196","","0.202","","0.208","","0.215","","0.222","","0.229","","0.236","","0.243","","0.249","","0.256","","0.262","","0.269","","0.276","","0.282","","0.288","","0.294","","0.300","","0.309","","0.317","","0.322","","0.329","","0.334","","0.339","","0.341","","0.341",""
"186"," Chad","","","","","","","","","","","","","","","","","","","","","0.182","","0.190","","0.198","","0.201","","0.204","","0.202","","0.212","","0.222","","0.232","","0.246","","0.249","","0.269","","0.278","","0.286","","0.292","","0.297","","0.298","","0.298",""
"44"," Chile","0.626","","0.638","","0.640","","0.613","","0.620","","0.627","","0.633","","0.640","","0.647","","0.664","","0.672","","0.684","","0.685","","0.698","","0.715","","0.722","","0.719","","0.729","","0.748","","0.745","","0.747","","0.753","","0.756","","0.775","","0.784","","0.797","","0.800","","0.800",""
"86"," China","0.405","","0.411","","0.420","","0.427","","0.432","","0.442","","0.450","","0.457","","0.465","","0.473","","0.481","","0.487","","0.496","","0.508","","0.522","","0.535","","0.551","","0.565","","0.577","","0.586","","0.602","","0.610","","0.617","","0.627","","0.637","","0.641","","0.644","","0.644",""
"90"," Colombia","0.433","","0.438","","0.457","","0.466","","0.474","","0.480","","0.498","","0.512","","0.526","","0.529","","0.534","","0.537","","0.540","","0.533","","0.560","","0.584","","0.593","","0.618","","0.630","","0.639","","0.644","","0.652","","0.647","","0.664","","0.666","","0.669","","0.676","","0.676",""
"165"," Comoros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.364","","0.376","","0.388","","0.399","","0.411","","0.422","","0.434","","0.446","","0.457","","0.468","","0.471","","0.473","","0.473","","0.473",""
"137"," Congo","0.455","","0.455","","0.457","","0.458","","0.459","","0.460","","0.459","","0.458","","0.456","","0.455","","0.454","","0.452","","0.449","","0.445","","0.453","","0.460","","0.468","","0.476","","0.484","","0.492","","0.500","","0.500","","0.500","","0.508","","0.514","","0.521","","0.526","","0.526",""
"176"," Congo (Democratic Republic of the)","0.263","","0.266","","0.270","","0.273","","0.277","","0.280","","0.285","","0.290","","0.295","","0.300","","0.305","","0.315","","0.324","","0.333","","0.343","","0.352","","0.362","","0.371","","0.398","","0.408","","0.424","","0.440","","0.442","","0.455","","0.467","","0.478","","0.486","","0.496",""
"63"," Costa Rica","0.505","","0.515","","0.526","","0.534","","0.542","","0.550","","0.559","","0.567","","0.576","","0.584","","0.593","","0.597","","0.601","","0.605","","0.609","","0.613","","0.619","","0.628","","0.642","","0.650","","0.650","","0.659","","0.684","","0.691","","0.698","","0.713","","0.715","","0.719",""
"46"," Croatia","0.498","","0.508","","0.519","","0.529","","0.553","","0.558","","0.575","","0.592","","0.616","","0.639","","0.656","","0.677","","0.685","","0.693","","0.702","","0.710","","0.726","","0.734","","0.738","","0.746","","0.760","","0.772","","0.778","","0.787","","0.793","","0.793","","0.791","","0.791",""
"73"," Cuba","0.624","","0.626","","0.627","","0.633","","0.619","","0.621","","0.636","","0.640","","0.647","","0.655","","0.663","","0.670","","0.671","","0.693","","0.721","","0.736","","0.780","","0.815","","0.838","","0.841","","0.824","","0.813","","0.773","","0.760","","0.767","","0.768","","0.774","","0.780",""
"32"," Cyprus","0.546","","0.553","","0.556","","0.644","","0.648","","0.655","","0.662","","0.668","","0.671","","0.674","","0.676","","0.684","","0.701","","0.718","","0.724","","0.729","","0.740","","0.755","","0.768","","0.781","","0.767","","0.771","","0.777","","0.788","","0.793","","0.792","","0.808","","0.808",""
"27"," Czechia","0.609","","0.609","","0.612","","0.626","","0.642","","0.657","","0.685","","0.699","","0.697","","0.719","","0.741","","0.762","","0.777","","0.792","","0.794","","0.809","","0.821","","0.830","","0.836","","0.850","","0.858","","0.863","","0.859","","0.882","","0.893","","0.891","","0.893","","0.893",""
"170"," Côte d'Ivoire","0.233","","0.238","","0.243","","0.248","","0.253","","0.259","","0.266","","0.273","","0.273","","0.287","","0.297","","0.305","","0.313","","0.321","","0.329","","0.336","","0.344","","0.352","","0.360","","0.368","","0.376","","0.386","","0.393","","0.399","","0.393","","0.412","","0.421","","0.424",""
