ROOMS,YR_RMDL,CENSUS_TRACT,SQUARE,ZIPCODE,BEDRM,BATHRM,KITCHENS,PRICE
10,2016.0,5201.0,208,20009.0,4,3,2.0,1700000.0
11,2014.0,4201.0,176,20009.0,3,2,2.0,1363000.0
11,2000.0,5500.0,92,20009.0,6,4,2.0,1844970.0
11,1935.0,5500.0,93,20009.0,5,3,2.0,1625000.0
8,2015.0,4201.0,152,20009.0,5,2,2.0,1925000.0
6,2004.0,4202.0,134,20009.0,3,2,1.0,950000.0
12,2007.0,5301.0,136,20036.0,4,4,4.0,2279000.0
6,2013.0,4201.0,150,20009.0,3,1,1.0,635000.0
8,2016.0,5201.0,208,20009.0,4,3,2.0,2020000.0
12,2010.0,5201.0,209,20009.0,3,3,2.0,2000000.0
7,2012.0,4201.0,177,20009.0,4,2,1.0,1510000.0
6,2008.0,4201.0,177,20009.0,3,2,2.0,1120000.0
6,2006.0,4201.0,177,20009.0,2,1,1.0,915000.0
9,2014.0,5500.0,93,20009.0,5,5,2.0,2295000.0
12,2006.0,5500.0,93,20009.0,5,3,2.0,1670000.0
6,2005.0,4201.0,150,20009.0,3,1,1.0,875000.0
6,2010.0,4201.0,150,20009.0,3,1,1.0,880000.0
5,2004.0,4400.0,235,20009.0,3,1,1.0,825000.0
10,2000.0,5301.0,178,20009.0,4,2,2.0,1600000.0
13,2013.0,5301.0,178,20009.0,5,3,2.0,1890000.0
8,2016.0,5301.0,178,20009.0,5,3,1.0,2210555.0
7,2007.0,5600.0,29,20037.0,2,2,1.0,599100.0
9,2000.0,4400.0,235,20009.0,3,2,1.0,932000.0
7,2005.0,5301.0,180,20009.0,6,5,2.0,1800000.0
10,2016.0,10700.0,53,20037.0,3,3,3.0,837500.0
8,2016.0,10700.0,53,20037.0,3,3,2.0,1725000.0
7,2008.0,4201.0,150,20009.0,3,2,1.0,1155200.0
10,2012.0,4300.0,190,20009.0,4,4,3.0,1412500.0
5,1973.0,4300.0,190,20009.0,3,1,1.0,815000.0
7,1990.0,4300.0,190,20009.0,3,2,1.0,1300000.0
5,2007.0,4300.0,190,20009.0,2,1,1.0,1115000.0
12,2013.0,5500.0,66,20008.0,4,4,4.0,2700000.0
13,1976.0,5500.0,69,20037.0,5,4,2.0,1800000.0
7,2007.0,4201.0,151,20009.0,4,3,2.0,1505000.0
7,2010.0,4201.0,151,20009.0,3,2,2.0,1345000.0
6,2004.0,4201.0,152,20009.0,3,2,2.0,1041000.0
10,2006.0,5002.0,242,20005.0,4,3,3.0,2600000.0
8,1980.0,5002.0,242,20005.0,6,6,3.0,2600000.0
7,1985.0,5002.0,243,20005.0,4,4,4.0,1450000.0
5,2000.0,5002.0,243,20005.0,1,1,1.0,635000.0
7,2004.0,5201.0,194,20005.0,3,2,2.0,1325000.0
10,2007.0,5201.0,195,20005.0,5,3,2.0,2299000.0
6,2003.0,5500.0,69,20037.0,3,4,2.0,1410000.0
6,2017.0,4901.0,420,20001.0,3,2,1.0,1325000.0
5,2007.0,4901.0,420,20001.0,3,2,1.0,666000.0
8,2008.0,4400.0,361,20001.0,4,3,2.0,1225000.0
16,2007.0,4901.0,421,20001.0,3,3,3.0,1005000.0
4,1996.0,4801.0,441,20001.0,2,1,1.0,450000.0
8,2016.0,6400.0,651,20024.0,4,2,1.0,760000.0
6,2008.0,4802.0,513,20001.0,2,2,1.0,795000.0
7,2013.0,4801.0,442,20001.0,3,2,1.0,981000.0
12,2004.0,5001.0,278,20005.0,5,5,4.0,1575000.0
10,2007.0,5002.0,279,20005.0,4,3,2.0,2000000.0
11,2016.0,4400.0,362,20001.0,5,4,2.0,2325000.0
5,2014.0,4901.0,397,20001.0,2,2,1.0,1060000.0
6,2011.0,4400.0,302,20009.0,3,1,1.0,825000.0
5,2013.0,4400.0,302,20009.0,4,3,1.0,1174000.0
9,2004.0,4400.0,362,20001.0,5,3,2.0,1300000.0
10,2013.0,4400.0,362,20001.0,4,3,2.0,1525000.0
8,2004.0,4400.0,362,20001.0,3,2,1.0,1160000.0
6,2010.0,4801.0,477,20001.0,3,2,2.0,830258.0
5,1977.0,4600.0,555,20001.0,2,1,1.0,440000.0
8,2017.0,4901.0,363,20001.0,3,3,2.0,1800000.0
4,2009.0,4902.0,340,20001.0,2,2,1.0,710000.0
6,2013.0,4600.0,555,20001.0,2,2,1.0,715000.0
5,2016.0,6400.0,651,20024.0,2,2,1.0,758000.0
8,1976.0,4400.0,305,20001.0,4,2,1.0,1320000.0
6,2009.0,4400.0,305,20009.0,2,1,1.0,925000.0
15,2010.0,4902.0,341,20001.0,8,3,1.0,399900.0
6,2006.0,4400.0,357,20001.0,2,1,1.0,705000.0
5,2009.0,4400.0,357,20001.0,2,1,1.0,659000.0
5,2016.0,4400.0,357,20001.0,2,1,1.0,680000.0
6,2017.0,4400.0,357,20001.0,2,2,1.0,710000.0
10,2015.0,4600.0,519,20001.0,4,2,2.0,1150000.0
10,2015.0,4600.0,519,20001.0,4,2,2.0,988000.0
5,2011.0,4801.0,442,20001.0,2,1,1.0,640000.0
10,2005.0,4400.0,306,20009.0,4,2,2.0,850000.0
8,2006.0,4400.0,306,20009.0,3,1,1.0,1120000.0
7,2013.0,4400.0,306,20009.0,2,1,1.0,1200000.0
10,1980.0,5301.0,156,20036.0,6,4,4.0,1170000.0
8,2008.0,5301.0,156,20036.0,3,2,1.0,1500000.0
8,2006.0,5301.0,156,20036.0,4,2,2.0,1150000.0
11,2007.0,4400.0,238,20009.0,5,5,2.0,2213000.0
6,2012.0,4300.0,206,20009.0,3,3,1.0,1354500.0
6,2003.0,4300.0,206,20009.0,2,2,1.0,1100000.0
7,2007.0,4300.0,206,20009.0,2,1,2.0,1175000.0
8,2005.0,4202.0,111,20009.0,6,3,1.0,1600000.0
11,2007.0,4202.0,111,20009.0,5,4,2.0,1625000.0
12,2011.0,4202.0,131,20009.0,3,3,3.0,1203000.0
11,2014.0,5301.0,157,20036.0,6,3,2.0,1775000.0
9,2000.0,5301.0,157,20036.0,5,3,2.0,1776500.0
6,2013.0,4201.0,174,20009.0,3,1,1.0,727500.0
10,2017.0,5001.0,239,20009.0,4,4,1.0,2180000.0
8,1989.0,5001.0,239,20009.0,5,2,1.0,1225000.0
9,1992.0,5201.0,192,20009.0,7,3,2.0,1100000.0
10,2017.0,4202.0,132,20009.0,4,3,2.0,1700000.0
12,2015.0,4400.0,273,20009.0,6,6,3.0,1800000.0
9,2009.0,5500.0,14,20037.0,4,4,1.0,2765000.0
7,2006.0,4202.0,133,20009.0,5,3,2.0,1250000.0
9,2010.0,4202.0,133,20009.0,4,4,2.0,3000000.0
7,2013.0,4400.0,237,20009.0,4,3,2.0,1665000.0
10,1988.0,4201.0,175,20009.0,6,5,2.0,1875000.0
12,1983.0,4201.0,175,20009.0,5,2,1.0,2300000.0
5,2003.0,5600.0,16,20037.0,3,2,1.0,1055000.0
7,2003.0,5600.0,16,20037.0,3,2,1.0,1082000.0
5,2001.0,5600.0,16,20037.0,2,2,1.0,826000.0
6,2003.0,5600.0,16,20037.0,2,3,2.0,1340000.0
8,2002.0,4202.0,133,20009.0,4,3,1.0,1201000.0
9,2015.0,4202.0,134,20009.0,4,3,2.0,1750000.0
12,2011.0,5500.0,96,20036.0,4,4,4.0,1515000.0
6,2011.0,4400.0,237,20009.0,3,1,1.0,1250000.0
7,2005.0,4400.0,237,20009.0,3,2,1.0,1075000.0
11,2007.0,4202.0,153,20009.0,5,3,3.0,1900000.0
5,2002.0,5600.0,16,20037.0,2,2,1.0,1000000.0
12,2005.0,5500.0,97,20036.0,6,5,1.0,2995000.0
6,2005.0,4400.0,237,20009.0,3,2,1.0,1350000.0
6,1992.0,4300.0,206,20009.0,3,1,1.0,1205000.0
11,2002.0,5301.0,155,20009.0,6,4,2.0,2350000.0
8,1992.0,4300.0,191,20009.0,4,2,2.0,1681000.0
7,2006.0,4300.0,191,20009.0,2,2,1.0,1449000.0
4,2010.0,5600.0,28,20037.0,2,1,1.0,590000.0
10,1973.0,5500.0,98,20036.0,5,3,2.0,1700000.0
6,2015.0,4201.0,152,20009.0,3,2,1.0,1090000.0
8,2013.0,4201.0,152,20009.0,6,3,2.0,1877000.0
7,2013.0,5201.0,207,20009.0,2,2,1.0,1890000.0
11,2016.0,4300.0,191,20009.0,5,4,1.0,1940000.0
10,2013.0,4300.0,191,20009.0,5,3,2.0,2050000.0
7,2010.0,4300.0,191,20009.0,4,3,1.0,1337100.0
6,2005.0,5600.0,28,20037.0,3,1,1.0,869900.0
10,2014.0,10800.0,81,20037.0,5,2,1.0,1200000.0
6,2014.0,4801.0,478,20001.0,3,2,1.0,1130000.0
8,2009.0,4801.0,444,20001.0,4,1,1.0,911000.0
6,2010.0,4801.0,444,20001.0,3,1,1.0,930000.0
6,2006.0,4801.0,444,20001.0,3,2,2.0,1092000.0
12,1940.0,4801.0,445,20001.0,4,4,4.0,1200000.0
12,2009.0,5001.0,277,20009.0,5,4,2.0,1659000.0
8,2017.0,4901.0,396,20001.0,3,3,1.0,1450000.0
12,2005.0,4901.0,396,20001.0,6,4,2.0,1250000.0
6,2013.0,4901.0,363,20001.0,3,3,2.0,1415000.0
7,2016.0,6400.0,651,20024.0,3,2,1.0,750000.0
7,2011.0,4801.0,445,20001.0,2,2,1.0,750000.0
10,2017.0,4902.0,339,20001.0,3,3,2.0,1300000.0
6,2008.0,4901.0,363,20001.0,3,1,1.0,935000.0
9,2016.0,4600.0,520,20001.0,4,3,1.0,1140000.0
10,2017.0,4600.0,520,20001.0,3,2,1.0,915000.0
6,2016.0,4600.0,520,20001.0,4,3,1.0,935000.0
7,2002.0,4802.0,449,20001.0,6,3,3.0,900000.0
4,1980.0,5001.0,310,20009.0,2,1,1.0,430000.0
8,2011.0,4901.0,365,20001.0,3,2,1.0,2600000.0
11,2011.0,4901.0,366,20001.0,4,3,2.0,1725000.0
9,1966.0,7000.0,795,20003.0,4,2,2.0,1006000.0
