Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Saquon Barkley,NYG,270.7,"1,264.20",9.5,87,698.4,3.4,1.6,313.9
Christian McCaffrey,CAR,213.9,"1,046.10",6.7,95,806.3,5,1.8,299.6
Alvin Kamara,NO,195.1,896.9,9.4,86,753.4,4.6,1.4,289.6
Ezekiel Elliott,DAL,291.1,"1,290.10",9,66.1,507.8,2.6,1.9,278.4
David Johnson,ARI,247.8,996.6,7.4,59.8,568.8,3.1,2.5,244.8
Le'Veon Bell,NYJ,247,"1,047.20",7.3,60.8,502.8,2.5,1.7,240.9
James Conner,PIT,232,"1,043.10",9.6,54.2,439.9,1.6,1.9,238.8
Dalvin Cook,MIN,237.2,"1,091.10",6.3,58.6,448.3,2.2,2.7,228.7
Joe Mixon,CIN,249.8,"1,156.60",8.5,46.2,342.1,1.2,1.6,228.3
Todd Gurley,LAR,209.2,976.7,9.4,43.7,401,2.5,1.7,227.5
Nick Chubb,CLE,242.9,"1,160.70",9.2,32.9,254.9,1.5,0.9,220.5
Melvin Gordon,LAC,195.5,901.3,8.1,48.3,435.6,2.6,1.1,219.8
Damien Williams,KC,178.8,829,7.6,51.9,414.9,3.9,1.4,216.5
Kerryon Johnson,DET,214.9,"1,026.20",6.5,52.3,374,1.8,1.9,212
Leonard Fournette,JAC,249.2,948.9,7.6,40.4,336.6,1.5,1.3,200.7
Derrick Henry,TEN,251.8,"1,183.20",10,16.5,125,0.3,1,198.7
Devonta Freeman,ATL,206,887.7,7.1,45.3,352.5,1.9,1.3,197.8
Chris Carson,SEA,240.6,"1,117.30",8.3,26.1,204.7,0.9,2.1,196.2
Josh Jacobs,OAK,211.1,939.3,6.5,42.1,353.1,1.6,1.5,195.6
Aaron Jones,GB,184.2,925.9,8,37.4,289.2,1.4,1.3,193.9
Marlon Mack,IND,231.7,"1,057.40",8.4,28.1,202.1,1,1.3,193.6
Kenyan Drake,MIA,145,658.8,4.1,54.3,449.7,2.7,1.6,175.8
Phillip Lindsay,DEN,182.1,892.1,6.4,34.2,250.1,1,0.8,173.5
Mark Ingram,BAL,222.3,923.5,6.6,31.5,241.1,0.9,2.3,172.7
David Montgomery,CHI,195.4,851.8,6.3,33.6,276.3,1.4,1.8,172.7
Sony Michel,NE,233.5,"1,063.90",9.2,9.4,74.5,0.3,1.6,172.3
James White,NE,72.1,302.1,2.6,73.2,646.8,4.1,0.5,170.8
Lamar Miller,HOU,221.4,952.2,5.2,30.5,232.6,1.1,1.3,169.2
Tarik Cohen,CHI,80.3,335.4,2.2,59.7,556.2,2.9,1.6,146.5
