Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Julio Jones,ATL,107,"1,564.80",8.3,1.6,10.8,0,0.9,259.2
Davante Adams,GB,106.7,"1,364.60",11.3,0,0,0,0.5,256.6
DeAndre Hopkins,HOU,102.8,"1,445.40",10.2,0.5,-0.6,0,0.9,255.5
JuJu Smith-Schuster,PIT,103.8,"1,371.80",9,0.5,4.5,0,0.5,242.3
Tyreek Hill,KC,81.7,"1,309.70",9,14.5,104.1,1,0.5,241.2
Michael Thomas,NO,113.5,"1,345.20",8.4,0,0,0,0.6,240.5
Antonio Brown,OAK,98.2,"1,260.40",9.3,0,0,0,0.5,230
Mike Evans,TB,87.4,"1,398.00",7.7,0,0,0,0.5,228.5
Odell Beckham Jr.,CLE,89.3,"1,269.50",9.2,4.1,16.7,0,0.5,227.8
Keenan Allen,LAC,98.5,"1,278.90",6.7,3.7,27.5,0,0.6,219.2
Julian Edelman,NE,93.8,"1,146.00",6.7,8.7,79,0.2,0.5,210
Adam Thielen,MIN,92,"1,194.70",6.9,3.5,20.8,0,0.6,207.8
T.Y. Hilton,IND,80.3,"1,282.00",6.5,0,0,0,0.5,206.4
Amari Cooper,DAL,81.2,"1,104.00",7.8,1.2,9.2,0,0.6,197.4
Stefon Diggs,MIN,90.5,"1,030.50",7.4,7.1,35.2,0,0.5,195.6
Brandin Cooks,LAR,74.5,"1,130.50",6.2,7.5,46.1,0.4,0.5,193.7
Robert Woods,LAR,78.5,"1,071.90",5.7,11.9,84.6,0.7,0.5,192.4
Kenny Golladay,DET,74.1,"1,072.60",6.1,0.9,6.4,0,0.5,180.7
Tyler Lockett,SEA,63.7,"1,001.10",6.9,8.7,54.1,0.1,0.5,178.4
Cooper Kupp,LAR,71,947.7,7.5,3.6,22.9,0,0.5,176.6
Chris Godwin,TB,73.4,994.7,6.3,0,0,0,0.6,172.7
Tyler Boyd,CIN,75.1,977.7,5.5,1,3.5,0,0.4,168.1
Alshon Jeffery,PHI,66.6,901.9,6.5,0,0,0,0.5,161.6
A.J. Green,CIN,63,920.2,6.3,0,0,0,0.5,160.2
Mike Williams,LAC,56.7,836.6,7.4,3.7,19.1,0.3,0.1,160
Jarvis Landry,CLE,73.2,868.9,5.3,3.5,30.6,0.3,0.5,159.1
Allen Robinson,CHI,65,903.2,5.7,0.6,3.9,0.1,0.5,156.7
Robby Anderson,NYJ,58.9,873.2,6.7,3.1,11.4,0,0.9,156.5
D.J. Moore,CAR,63.9,879.5,4.4,13.1,128.7,0.1,1.6,156.5
Sammy Watkins,KC,62.5,881.8,6,2.6,19.3,0,0.5,156.5
Calvin Ridley,ATL,63.9,804.8,7,5.5,28.6,0,0.5,156.5
Dante Pettis,SF,57.8,821.4,5.9,0.9,0.1,0,0.4,145.8
Marvin Jones,DET,55.8,816.3,5.9,0,0,0,0.5,144.1
Christian Kirk,ARI,62.8,831,4.6,2.2,18.5,0,0.5,143.1
Sterling Shepard,NYG,63.2,825.4,4.4,2.6,16.2,0,0.4,141.7
Dede Westbrook,JAC,66.1,759.4,5,4.7,40.1,0,1,141.3
Corey Davis,TEN,61.4,805.7,4.3,4,32.6,0,0.5,139.6
Larry Fitzgerald,ARI,67.9,744.2,5.3,0,0,0,0.5,139
Will Fuller,HOU,53.7,780.3,5.7,0.5,2.4,0,0.4,138.5
Curtis Samuel,CAR,53.4,665.5,4.8,10.9,98.2,1.1,0.4,137.6
Mohamed Sanu,ATL,61.1,742.5,3.7,3.6,24.4,0.1,0.5,129
Courtland Sutton,DEN,49.2,751.4,4.7,0.5,0.2,0,0.1,127.6
Kenny Stills,MIA,48.2,731.2,4.9,0,0,0,0.5,125.6
Emmanuel Sanders,DEN,59.3,719.8,3.6,1.5,14.3,0.3,0.5,125.1
DeSean Jackson,PHI,43.9,716.8,4.1,4,28,0.4,0.4,122.5
Geronimo Allison,GB,51.3,691.6,4.2,0,0,0,0.5,118.9
Tyrell Williams,OAK,50.1,705.2,3.8,0.6,3.9,0,0.5,117.8
Michael Gallup,DAL,45.4,685.6,4.1,0,-0.2,0,0.1,115.8
Donte Moncrief,PIT,48.7,650.7,4.5,0,0,0,0.4,115.6
DaeSean Hamilton,DEN,56.2,618.5,4.1,0,0,0,0.4,113.5
John Brown,BUF,43.1,645.2,4.3,0.8,2.7,0,0.1,112.3
Golden Tate,NYG,56.1,634.3,3.2,2.2,17.6,0,0.5,111.8
Jamison Crowder,NYJ,52.7,630.8,3.6,2.9,18.4,0,0.5,111.7
Albert Wilson,MIA,48.7,610.5,3.9,6.8,29.3,0.1,0.4,111.1
Devin Funchess,IND,45.7,583.7,5,0,0,0,0.4,110.6
Ted Ginn,NO,43.1,614.1,3.5,8.6,56.8,0.3,0.4,110.3
Devante Parker,MIA,49,642.5,3.3,0,0,0,0.1,108.5
Keke Coutee,HOU,54,598.8,3.4,4.4,15.9,0.1,0.5,107.9
Marquez Valdes-Scantling,GB,43.3,618.2,3.7,1.7,14.6,0,0.4,106.4
Anthony Miller,CHI,42.7,558.4,4.5,3.3,15.2,0,0.1,105.9
James Washington,PIT,43.4,620.9,3.7,0,0,0,0.4,105
Marqise Lee,JAC,49.2,612,2.9,2.1,15.4,0,0.4,104.3
Adam Humphries,TEN,52.1,573.7,3.2,1.8,10.3,0,0.4,102.9
D.K. Metcalf,SEA,39.5,555.5,4.7,0.7,4,0,0.6,102.5
Parris Campbell,IND,44.1,551.9,3.7,3,17.6,0.1,0.8,100
Quincy Enunwa,NYJ,47.1,589.3,3,0.7,0.1,0,0.4,99.5
Marquise Goodwin,SF,35.2,554.6,3.7,3.1,18.7,0,0.1,97.2
N'Keal Harry,NE,40,554.4,3.7,1.1,6.5,0,0.8,97.1
Taylor Gabriel,CHI,47,531.1,2.8,5.3,39.1,0.1,0.5,96.8
Zay Jones,BUF,41,518.6,4,0.6,4.2,0,0.4,96.1
Danny Amendola,DET,54.3,530.4,2.7,0.9,3.7,0,0.4,95.8
Josh Doctson,WAS,42.5,554.4,3.2,0.1,-0.3,0,0.1,95.7
Paul Richardson,WAS,38.9,569.7,3,1.8,11.7,0,0.1,95.6
Marquise Brown,BAL,37.1,539.7,3.3,5.9,37.7,0,0.8,95.1
Cole Beasley,BUF,46.7,526.9,2.6,0,0,0,0.1,91.6
Willie Snead,BAL,47.6,531.8,2.5,0.7,4.6,0,0.5,91.3
Robert Foster,BUF,32.9,539.1,3.5,0,0,0,0.1,91.3
A.J. Brown,TEN,40,515.2,2.9,0,0,0,0.1,88.5
Randall Cobb,DAL,45.4,489.9,2.6,2.5,10.1,0,0.4,87.8
David Moore,SEA,31.8,460.8,3.7,0.4,1.9,0,0.1,84.5
Tre'Quan Smith,NO,33.1,473.7,3.4,0.4,1.7,0,0.1,84.4
Nelson Agholor,PHI,36.6,446.4,3,3,23.1,0.1,0.4,82.6
Deebo Samuel,SF,37.6,481.9,2.6,1.4,8.8,0,0.8,82.3
Rashard Higgins,CLE,33.7,458,3.1,0.1,0.7,0,0.4,80.5
Trey Quinn,WAS,39.2,440.4,2.4,1.4,7.5,0,0.1,78.4
Breshad Perriman,TB,29.6,478.2,2.5,2.3,6.5,0,0.1,78.2
Andy Isabella,ARI,32.6,410.1,2.5,1.3,8.1,0,0.1,73.1
Demarcus Robinson,KC,28.2,387.9,3,0,0,0,0,70.6
John Ross,CIN,28.2,324.3,3.7,2.9,11.6,0,0.1,69.7
Chris Conley,JAC,31.6,402,2.2,0,0,0,0.2,69
Travis Benjamin,LAC,23.5,360,2,5.9,36.6,0.4,0.1,65.6
Mecole Hardman,KC,23.6,345.2,2.4,4.8,30.6,0.3,0.4,65.3
D.J. Chark,JAC,32.5,405.7,1.7,0,0,0,1.1,65
Miles Boykin,BAL,26.2,379,2.4,1,4.7,0,0.4,64.9
Hunter Renfrow,OAK,32.8,360.4,1.9,0,0,0,0.1,63.3
Phillip Dorsett,NE,25.6,323.4,2.4,1.8,12,0,0,60.5
Antonio Callaway,CLE,24.6,335.4,2.5,1,3.9,0,0.4,60.3
