Rank,Tier,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,1,,Saquon Barkley,NYG,RB1,11,1,5,1.5,0.8,1,0
2,1,,Christian McCaffrey,CAR,RB2,7,1,10,2.5,0.9,2,0
3,1,,Alvin Kamara,NO,RB3,9,1,5,2.9,1.1,3,0
4,1,,Ezekiel Elliott,DAL,RB4,8,1,47,4.9,5,4,0
5,1,,David Johnson,ARI,RB5,12,1,19,6.4,3.4,6,1
6,1,,DeAndre Hopkins,HOU,WR1,10,4,17,7.4,2.1,7,1
7,1,,Davante Adams,GB,WR2,11,5,20,8.4,3.1,8,1
8,2,,Julio Jones,ATL,WR3,9,6,16,9.9,2.3,11,3
9,2,,James Conner,PIT,RB6,7,3,29,11.9,5,10,1
10,2,,Le'Veon Bell,NYJ,RB7,4,2,52,12.8,6.4,5,-5
11,2,,Odell Beckham Jr.,CLE,WR4,7,4,25,12.8,4.1,12,1
12,2,,Michael Thomas,NO,WR5,9,5,25,13.3,3.8,9,-3
13,2,,Travis Kelce,KC,TE1,12,6,22,13.9,2.2,13,0
14,2,,Joe Mixon,CIN,RB8,9,5,40,14.1,5,17,3
15,2,,JuJu Smith-Schuster,PIT,WR6,7,6,30,15.3,4.3,16,1
16,2,,Nick Chubb,CLE,RB9,7,5,57,16.6,6.9,20,4
17,2,,Tyreek Hill,KC,WR7,12,6,79,17.3,5.7,15,-2
18,2,,Dalvin Cook,MIN,RB10,12,5,44,17.6,5.4,19,1
19,2,,Todd Gurley,LAR,RB11,9,3,51,19,9.9,14,-5
20,3,,Mike Evans,TB,WR8,7,12,34,21.8,3.9,21,1
21,3,,George Kittle,SF,TE2,4,13,69,24.2,7.5,29,8
22,3,,Antonio Brown,OAK,WR9,6,13,81,24.5,6.1,23,1
23,3,,T.Y. Hilton,IND,WR10,6,20,36,26.6,3.8,26,3
24,3,,Melvin Gordon,LAC,RB12,12,4,98,26.7,15.9,22,-2
25,3,,Zach Ertz,PHI,TE3,10,18,69,26.8,8.9,25,0
26,3,,Keenan Allen,LAC,WR11,12,18,40,26.8,3.8,24,-2
27,3,,Damien Williams,KC,RB13,12,6,71,28.5,11.9,28,1
28,3,,Amari Cooper,DAL,WR12,8,12,50,30.1,4.9,32,4
29,3,,Adam Thielen,MIN,WR13,12,12,44,30.2,4.2,27,-2
30,3,,Stefon Diggs,MIN,WR14,12,22,39,31.7,3.7,35,5
31,3,,Kerryon Johnson,DET,RB14,5,13,66,32.9,10.3,31,0
32,3,,Marlon Mack,IND,RB15,6,14,59,33.4,9,36,4
33,4,,Leonard Fournette,JAC,RB16,10,10,60,35.1,8.6,30,-3
