Country,Data Count (Line 40),Training Accuracy,Testing Accuracy,Region Name
ARGENTINA,697,99.2,85.7,South America
ARMENIA,89,100,87,Asia
AUSTRALIA,1260,99.9,91.4,Oceania
AUSTRIA,115,100,96.6,European Union
BANGLADESH,734,98.9,88.6,Asia
BELARUS,335,99.2,95.2,Eastern Europe
BELGIUM,162,100,87.8,European Union
BOLIVIA,101,100,96.2,South America
BRAZIL,2272,98.3,91.5,South America
BULGARIA,306,99.6,92.2,Eastern Europe
CANADA,7904,98,91,North America
CHILE,293,100,86.5,South America
CHINA,19734,96.6,95.6,Asia
COLOMBIA,943,98.7,84.7,South America
COSTA RICA,161,100,87.8,Central America
CZECH REPUBLIC,109,100,92.9,European Union
DENMARK,122,100,77.4,European Union
DOMINICAN REPUBLIC,156,100,87.2,The Caribbean
ECUADOR,332,92.8,74.7,South America
EGYPT,528,100,93.2,Africa
EL SALVADOR,279,98.1,72.9,Central America
FINLAND,133,100,91.2,European Union
FRANCE,1913,99.5,89.6,European Union
GERMANY,1278,99.7,92.8,European Union
GHANA,194,100,91.8,Africa
GREECE,336,99.6,90.5,European Union
GUATEMALA,154,94.8,66.7,Central America
HAITI,37,100,90,The Caribbean
HONDURAS,165,99.2,78.6,Central America
HONG KONG,283,100,88.7,Asia
HUNGARY,179,99.3,84.4,European Union
INDIA,120577,95.6,95.6,Asia
INDONESIA,394,99.7,81.8,Asia
IRAN,1163,98.5,89.3,Middle East
IRELAND,610,99.8,93.5,European Union
ISRAEL,1059,99.5,92.8,Middle East
ITALY,1124,99.8,86.1,European Union
JAMAICA,237,97.7,80,The Caribbean
JAPAN,1529,98.4,87.2,Asia
JORDAN,314,99.2,91.1,Middle East
KENYA,208,100,80.8,Africa
LEBANON,297,100,85.3,Middle East
MALAYSIA,527,100,93.2,Asia
MEXICO,5092,93.6,86.6,Central America
MOLDOVA,90,100,78.3,Eastern Europe
MONGOLIA,139,100,88.6,Asia
MOROCCO,107,100,81.5,Africa
NEPAL,1680,99.1,88.8,Asia
NETHERLANDS,324,100,93.8,European Union
NEW ZEALAND,210,100,88.7,Oceania
NIGERIA,575,99.1,91.7,Africa
PAKISTAN,1795,98.7,89.3,Asia
PERU,386,95.9,84.5,South America
PHILIPPINES,3156,96.2,83.4,Asia
POLAND,857,97.4,81.9,European Union
PORTUGAL,190,100,90,European Union
ROMANIA,697,98.7,88.6,Eastern Europe
RUSSIA,1497,99.6,92.3,Eastern Europe
SERBIA,148,100,97.3,Eastern Europe
SINGAPORE,462,100,95.7,Asia
SOUTH AFRICA,582,95.4,91.1,Africa
SOUTH KOREA,10101,93.1,88.1,Asia
SPAIN,888,100,87.8,European Union
SRI LANKA,413,99.7,84.6,Asia
SWEDEN,165,99.2,78.6,European Union
SWITZERLAND,143,100,91.7,European Union
SYRIA,210,100,92.5,Middle East
TAIWAN,2274,98.8,92.1,Asia
THAILAND,546,98.8,81.8,Asia
TRINIDAD AND TOBAGO,158,100,85,The Caribbean
TURKEY,1420,99.4,91.5,Eastern Europe
UKRAINE,1067,99.1,87.6,Eastern Europe
UNITED KINGDOM,2541,98.9,89.2,European Union
VENEZUELA,1600,97.6,88.2,South America
VIETNAM,1151,97.6,91.3,Asia
ZIMBABWE,178,91,82.2,Africa
