CASE_STATUS,DECISION_ELAPSED_DAYS,EMPLOYER_POSTAL_CODE,EMPLOYER_STATE,EMPLOYER_NUM_EMPLOYEES,WAGE_OFFER_FROM_9089,COUNTRY_OF_CITIZENSHIP,CLASS_OF_ADMISSION,FOREIGN_WORKER_INFO_EDUCATION,CASE_RECEIVED_DATE_MONTH,EMPLOYER_STATES,ZIP_CODE
Certified,262,99801,AK,546,74692,PHILIPPINES,H-1B,Bachelor's,8,ALASKA,99801
Certified,76,99801,AK,550,76981,PHILIPPINES,H-1B,Bachelor's,7,ALASKA,99801
Denied,404,99701,ALASKA,3557,71224,PHILIPPINES,H-1B,Master's,5,ALASKA,99701
Certified,82,99686,AK,22,26770,PHILIPPINES,J-1,Bachelor's,5,ALASKA,99686
Certified,83,99686,AK,22,29016,PHILIPPINES,J-1,Other,5,ALASKA,99686
Certified,83,99686,AK,22,26770,PHILIPPINES,J-1,Other,5,ALASKA,99686
Certified,83,99686,AK,22,26770,PHILIPPINES,J-1,Bachelor's,5,ALASKA,99686
Certified,451,99502,ALASKA,1,21029,PHILIPPINES,B-2,None,5,ALASKA,99502
Certified,52,99352,WA,3372,300000,PHILIPPINES,H-1B,Other,4,WASHINGTON,99352
Certified,52,99352,WA,3372,181896,PHILIPPINES,H-1B,Other,4,WASHINGTON,99352
Certified,119,99352,WA,3372,330000,PHILIPPINES,H-1B,Other,4,WASHINGTON,99352
Certified,206,98902,WASHINGTON,2230,195000,PHILIPPINES,H-1B,Other,3,WASHINGTON,98902
Certified,187,98902,WASHINGTON,2230,195000,PHILIPPINES,H-1B,Other,2,WASHINGTON,98902
Certified,68,98902,WA,2866,153130,PHILIPPINES,H-1B,Other,6,WASHINGTON,98902
Certified,147,98683,WA,16134,173493,PHILIPPINES,H-1B,Other,11,WASHINGTON,98683
Certified,106,98683,WA,16134,209498,PHILIPPINES,H-1B,Other,3,WASHINGTON,98683
Certified,106,98683,WA,16134,209498,PHILIPPINES,H-1B,Other,3,WASHINGTON,98683
Certified,134,98683,WA,16000,186406,PHILIPPINES,H-1B,Other,5,WASHINGTON,98683
Certified,135,98683,WA,16000,186406,PHILIPPINES,H-1B,Other,5,WASHINGTON,98683
Certified,205,98402,WASHINGTON,1000,200200,PHILIPPINES,H-1B,Other,12,WASHINGTON,98402
Certified,171,98402,WASHINGTON,500,218400,PHILIPPINES,H-1B,Other,10,WASHINGTON,98402
Certified,202,98402,WA,1700,210000,PHILIPPINES,H-1B,Other,10,WASHINGTON,98402
Certified,101,98402,WA,2100,200000,PHILIPPINES,H-1B,Other,3,WASHINGTON,98402
Certified,73,98402,WA,2766,239400,PHILIPPINES,H-1B,Other,4,WASHINGTON,98402
Certified,134,98402,WA,2000,210000,PHILIPPINES,Parolee,Other,1,WASHINGTON,98402
Certified,138,98402,WA,1150,210000,PHILIPPINES,H-1B,Other,1,WASHINGTON,98402
Certified,138,98402,WA,1150,210000,PHILIPPINES,H-1B,Other,1,WASHINGTON,98402
Denied,3000,98188,WA,12,36005,PHILIPPINES,H-1B,None,2,WASHINGTON,98188
Certified,183,98155,WASHINGTON,337,63586,PHILIPPINES,H-1B,Master's,12,WASHINGTON,98155
Certified,209,98121,WASHINGTON,61,104250,PHILIPPINES,H-1B,Bachelor's,2,WASHINGTON,98121
Certified,147,98119,WA,4110,92783,PHILIPPINES,L-1,Bachelor's,12,WASHINGTON,98119
Certified,78,98119,WA,4275,113838,PHILIPPINES,H-1B,Bachelor's,5,WASHINGTON,98119
Certified,154,98109,WA,154100,97219,PHILIPPINES,H-1B,Bachelor's,11,WASHINGTON,98109
Certified,176,98109,WA,154100,113942,PHILIPPINES,H-1B,Master's,11,WASHINGTON,98109
Certified,127,98109,WA,154100,101088,PHILIPPINES,H-1B,Bachelor's,1,WASHINGTON,98109
Certified,83,98109,WA,341400,99382,PHILIPPINES,H-1B,Bachelor's,3,WASHINGTON,98109
Certified,88,98109,WA,566000,113000,PHILIPPINES,H-1B,Master's,5,WASHINGTON,98109
Certified,78,98104,WA,2200,130894,PHILIPPINES,H-1B,Bachelor's,6,WASHINGTON,98104
Certified,165,98101,WA,67000,98400,PHILIPPINES,H-1B,Bachelor's,11,WASHINGTON,98101
Certified,58,98101,WA,170,151000,PHILIPPINES,H-1B,Bachelor's,6,WASHINGTON,98101
Certified,137,98053,WA,9,84718,PHILIPPINES,H-1B,Bachelor's,1,WASHINGTON,98053
Certified,90,98052,WA,63000,134200,PHILIPPINES,L-1,Bachelor's,6,WASHINGTON,98052
Certified,139,98052,WA,3,85000,PHILIPPINES,H-1B,Bachelor's,12,WASHINGTON,98052
Certified,106,98052,WA,73172,143900,PHILIPPINES,H-1B,Bachelor's,3,WASHINGTON,98052
Certified,99,98052,WA,73172,137854,PHILIPPINES,L-1,Bachelor's,4,WASHINGTON,98052
Certified,65,98052,WA,73172,107000,PHILIPPINES,H-1B,Bachelor's,5,WASHINGTON,98052
Certified,70,98043,WA,3500,118514.29,PHILIPPINES,H-1B,Bachelor's,2,WASHINGTON,98043
