COUNTRY_OF_CITIZENSHIP,NUM_OF_CERTIFIED_CASES,Region_Code,Region_Name
AFGHANISTAN,9,1,Asia
ALBANIA,60,3,Eastern Europe
ALGERIA,24,0,Africa
ANDORRA,1,3,Eastern Europe
ANGOLA,5,0,Africa
ANTIGUA AND BARBUDA,8,9,The Caribbean
ARGENTINA,615,8,South America
ARMENIA,76,1,Asia
AUSTRALIA,1189,7,Oceania
AUSTRIA,110,4,European Union
AZERBAIJAN,38,1,Asia
BAHAMAS,54,9,The Caribbean
BAHRAIN,11,5,Middle East
BANGLADESH,725,1,Asia
BARBADOS,29,9,The Caribbean
BELARUS,316,3,Eastern Europe
BELGIUM,145,4,European Union
BELIZE,23,2,Central America
BENIN,9,0,Africa
BERMUDA,6,6,North America
BHUTAN,5,1,Asia
BOLIVIA,92,8,South America
BOSNIA AND HERZEGOVINA,20,3,Eastern Europe
BOTSWANA,10,0,Africa
BRAZIL,2127,8,South America
BRITISH VIRGIN ISLANDS,2,9,The Caribbean
BRUNEI,3,1,Asia
BULGARIA,283,3,Eastern Europe
BURKINA FASO,19,0,Africa
BURMA (MYANMAR),41,1,Asia
BURUNDI,1,0,Africa
CAMBODIA,24,1,Asia
CAMEROON,53,0,Africa
CANADA,7396,6,North America
CAPE VERDE,2,0,Africa
CHILE,267,8,South America
CHINA,19049,1,Asia
COLOMBIA,803,8,South America
COMOROS,1,0,Africa
COSTA RICA,154,2,Central America
COTE D'IVOIRE,11,0,Africa
CROATIA,77,3,Eastern Europe
CUBA,4,9,The Caribbean
CYPRUS,32,3,Eastern Europe
CZECH REPUBLIC,101,4,European Union
DEMOCRATIC REPUBLIC OF CONGO,11,0,Africa
DENMARK,102,4,European Union
DOMINICA,17,9,The Caribbean
DOMINICAN REPUBLIC,147,9,The Caribbean
ECUADOR,257,8,South America
EGYPT,496,0,Africa
EL SALVADOR,264,2,Central America
EQUATORIAL GUINEA,1,0,Africa
ERITREA,2,0,Africa
ESTONIA,29,3,Eastern Europe
ETHIOPIA,82,0,Africa
FIJI,5,7,Oceania
FINLAND,125,4,European Union
FRANCE,1776,4,European Union
GABON,4,0,Africa
GAMBIA,7,0,Africa
GEORGIA,39,1,Asia
GERMANY,1177,4,European Union
GHANA,186,0,Africa
GREECE,315,4,European Union
GRENADA,30,9,The Caribbean
GUATEMALA,119,2,Central America
GUINEA,3,0,Africa
GUINEA-BISSAU,4,0,Africa
GUYANA,22,0,Africa
HAITI,178,9,The Caribbean
HONDURAS,147,2,Central America
HONG KONG,304,1,Asia
HUNGARY,164,4,European Union
ICELAND,30,3,Eastern Europe
