id,Count
SANTA CLARA,7359
MOUNTAIN VIEW,6168
SAN FRANCISCO,5174
SAN JOSE,5139
SUNNYVALE,3914
CUPERTINO,2639
MENLO PARK,2296
PALO ALTO,2219
LOS ANGELES,2187
SAN DIEGO,1749
REDWOOD SHORES,1624
FREMONT,1049
IRVINE,910
MILPITAS,758
REDWOOD CITY,750
FOSTER CITY,658
PLEASANTON,653
SAN MATEO,509
SAN RAMON,407
SANTA MONICA,324
EL SEGUNDO,317
TORRANCE,302
ALISO VIEJO,265
LOS GATOS,244
OAKLAND,226
FOLSOM,217
BREA,205
GLENDALE,187
NEWARK,186
PASADENA,183
SOUTH SAN FRANCISCO,177
CAMPBELL,172
CITY OF INDUSTRY,170
CARLSBAD,169
BURBANK,167
GARDENA,160
CALABASAS,148
SACRAMENTO,142
SANTA ANA,142
LONG BEACH,138
DUBLIN,134
NEWPORT BEACH,129
VERNON,127
ANAHEIM,123
WOODLAND HILLS,123
THOUSAND OAKS,121
SAN RAFAEL,119
EMERYVILLE,117
ONTARIO,107
WALNUT CREEK,104
ORANGE,103
BUENA PARK,102
FULLERTON,98
VENICE,91
BERKELEY,90
COSTA MESA,90
REDLANDS,88
WESTLAKE VILLAGE,84
LAKE FOREST,82
CERRITOS,81
HAYWARD,77
BEVERLY HILLS,73
CARSON,73
GARDEN GROVE,71
SANTA BARBARA,68
SANTA FE SPRINGS,68
SIMI VALLEY,68
GOLETA,65
CULVER CITY,64
CHINO,62
NORTH HOLLYWOOD,61
SAN CARLOS,60
TUSTIN,60
TRACY,59
FRESNO,56
DIAMOND BAR,55
LA JOLLA,54
LOS ALTOS,54
BURLINGAME,52
DALY CITY,52
VAN NUYS,52
BAKERSFIELD,51
SAN LEANDRO,50
MISSION VIEJO,47
POWAY,47
LIVERMORE,45
NORTHRIDGE,45
HOLLYWOOD,44
RIVERSIDE,44
STOCKTON,44
COMMERCE,43
DAVIS,42
NOVATO,42
HUNTINGTON BEACH,41
MONTEREY,41
SANTA ROSA,41
ARCADIA,40
STANFORD,40
ALHAMBRA,39
LA MIRADA,39
VALENCIA,39
WALNUT,36
RANCHO CORDOVA,35
WEST HOLLYWOOD,35
CAMARILLO,34
ENCINO,34
HERCULES,33
COMPTON,32
CORONA,32
FOUNTAIN VALLEY,32
MARINA DEL REY,31
POMONA,31
SHERMAN OAKS,31
PLAYA VISTA,30
RANCHO CUCAMONGA,30
ROSEVILLE,30
CHATSWORTH,29
CONCORD,29
EL DORADO HILLS,29
MILL VALLEY,29
SANTA CRUZ,29
CYPRESS,28
HAWTHORNE,28
ROWLAND HEIGHTS,28
ALAMEDA,27
SAN BERNARDINO,27
SAN BRUNO,27
PARAMOUNT,26
UNION CITY,25
BRISBANE,24
INGLEWOOD,24
IRWINDALE,24
MONTEREY PARK,24
MORGAN HILL,24
WHITTIER,24
BELMONT,23
CHINO HILLS,23
RANCHO DOMINGUEZ,22
VENTURA,22
EL MONTE,21
FONTANA,21
PLACENTIA,21
