Country,data,training,testing,region,,
ARGENTINA,697,99.2,85.7,8,,
ARMENIA,89,100,87,1,,
AUSTRALIA,1260,99.9,91.4,7,,
AUSTRIA,115,100,96.6,4,,
BANGLADESH,734,98.9,88.6,1,,
BELARUS,335,99.2,95.2,3,,
BELGIUM,162,100,87.8,4,,
BOLIVIA,101,100,96.2,8,,
BRAZIL,2272,98.3,91.5,8,,
BULGARIA,306,99.6,92.2,3,,
CANADA,7904,98,91,6,,
CHILE,293,100,86.5,8,,
CHINA,19734,96.6,95.6,1,,
COLOMBIA,943,98.7,84.7,8,,
COSTA RICA,161,100,87.8,2,,
CZECH REPUBLIC,109,100,92.9,4,,
DENMARK,122,100,77.4,4,,
DOMINICAN REPUBLIC,156,100,87.2,9,,
ECUADOR,332,92.8,74.7,8,,
EGYPT,528,100,93.2,0,,
EL SALVADOR,279,98.1,72.9,2,,
FINLAND,133,100,91.2,4,,
FRANCE,1913,99.5,89.6,4,,
GERMANY,1278,99.7,92.8,4,,
GHANA,194,100,91.8,0,,
GREECE,336,99.6,90.5,4,,
GUATEMALA,154,94.8,66.7,2,,
HAITI,37,100,90,9,,
HONDURAS,165,99.2,78.6,2,,
HONG KONG,283,100,88.7,1,,
HUNGARY,179,99.3,84.4,4,,
INDIA,120577,95.6,95.6,1,,
INDONESIA,394,99.7,81.8,1,,
IRAN,1163,98.5,89.3,5,,
IRELAND,610,99.8,93.5,4,,
ISRAEL,1059,99.5,92.8,5,,
ITALY,1124,99.8,86.1,4,,
JAMAICA,237,97.7,80,9,,
JAPAN,1529,98.4,87.2,1,,
JORDAN,314,99.2,91.1,5,,
KENYA,208,100,80.8,0,,
LEBANON,297,100,85.3,5,,
MALAYSIA,527,100,93.2,1,,
MEXICO,5092,93.6,86.6,2,,
MOLDOVA,90,100,78.3,3,,
MONGOLIA,139,100,88.6,1,,
MOROCCO,107,100,81.5,0,,
NEPAL,1680,99.1,88.8,1,,
NETHERLANDS,324,100,93.8,4,,
NEW ZEALAND,210,100,88.7,7,,
NIGERIA,575,99.1,91.7,0,,
PAKISTAN,1795,98.7,89.3,1,,
PERU,386,95.9,84.5,8,,
PHILIPPINES,3156,96.2,83.4,1,,
POLAND,857,97.4,81.9,4,,
PORTUGAL,190,100,90,4,,
ROMANIA,697,98.7,88.6,3,,
RUSSIA,1497,99.6,92.3,3,,
SERBIA,148,100,97.3,3,,
SINGAPORE,462,100,95.7,1,,
SOUTH AFRICA,582,95.4,91.1,0,,
SOUTH KOREA,10101,93.1,88.1,1,,
SPAIN,888,100,87.8,4,,
SRI LANKA,413,99.7,84.6,1,,
SWEDEN,165,99.2,78.6,4,,
SWITZERLAND,143,100,91.7,4,,
SYRIA,210,100,92.5,5,,
TAIWAN,2274,98.8,92.1,1,,
THAILAND,546,98.8,81.8,1,,
TRINIDAD AND TOBAGO,158,100,85,9,,
TURKEY,1420,99.4,91.5,3,,
UKRAINE,1067,99.1,87.6,3,,
UNITED KINGDOM,2541,98.9,89.2,4,,
VENEZUELA,1600,97.6,88.2,8,,
VIETNAM,1151,97.6,91.3,1,,
ZIMBABWE,178,91,82.2,0,,
